['roate', 'genal', 'bagel']                            ['bbyby', 'yybyg', 'ggggg']                            bagel True
['roate', 'lysin', 'cadgy', 'baggy']                   ['bbybb', 'bybbb', 'bgbgg', 'ggggg']                   baggy True
['roate', 'balms', 'baker']                            ['ybyby', 'ggbbb', 'ggggg']                            baker True
['roate', 'balms', 'baler']                            ['ybyby', 'gggbb', 'ggggg']                            baler True
['roate', 'lysin', 'balmy']                            ['bbybb', 'yybbb', 'ggggg']                            balmy True
['roate', 'lysin', 'banal']                            ['bbybb', 'ybbby', 'ggggg']                            banal True
['roate', 'linos', 'banjo']                            ['byybb', 'bbgyb', 'ggggg']                            banjo True
['roate', 'aglus', 'barge']                            ['ybybg', 'yybbb', 'ggggg']                            barge True
['roate', 'macon', 'baron']                            ['yyybb', 'bgbgg', 'ggggg']                            baron True
['roate', 'lysin', 'basal']                            ['bbybb', 'ybgbb', 'ggggg']                            basal True
['roate', 'lysin', 'basic']                            ['bbybb', 'bbggb', 'ggggg']                            basic True
['roate', 'lysin', 'basil']                            ['bbybb', 'ybggb', 'ggggg']                            basil True
['roate', 'lysin', 'basin']                            ['bbybb', 'bbggg', 'ggggg']                            basin True
['roate', 'lysin', 'basic', 'basis']                   ['bbybb', 'bbggb', 'ggggb', 'ggggg']                   basis True
['roate', 'butch', 'baste']                            ['bbygg', 'gbybb', 'ggggg']                            baste True
['roate', 'clint', 'bumph', 'batch']                   ['bbyyb', 'ybbby', 'gbbbg', 'ggggg']                   batch True
['roate', 'bathe']                                     ['bbyyg', 'ggggg']                                     bathe True
['roate', 'bloat', 'baton']                            ['byyyb', 'gbyyy', 'ggggg']                            baton True
['roate', 'snipy', 'tabac', 'batty']                   ['bbygb', 'bbbbg', 'ygybb', 'ggggg']                   batty True
['roate', 'lysin', 'cadgy', 'bawdy']                   ['bbybb', 'bybbb', 'bgybg', 'ggggg']                   bawdy True
['roate', 'linos', 'bayou']                            ['byybb', 'bbbgb', 'ggggg']                            bayou True
['roate', 'child', 'beach']                            ['bbgby', 'yybbb', 'ggggg']                            beach True
['roate', 'child', 'beady']                            ['bbgby', 'bbbby', 'ggggg']                            beady True
['roate', 'bandy', 'beard']                            ['ybgby', 'gybyb', 'ggggg']                            beard True
['roate', 'enols', 'abaft', 'beast']                   ['bbgyy', 'ybbby', 'bygbg', 'ggggg']                   beast True
['roate', 'lenes', 'aback', 'beech']                   ['bbbby', 'bgbyb', 'bybgb', 'ggggg']                   beech True
['roate', 'lenes', 'aback', 'beefy']                   ['bbbby', 'bgbyb', 'bybbb', 'ggggg']                   beefy True
['roate', 'sleet', 'edict', 'befit']                   ['bbbyy', 'bbybg', 'ybybg', 'ggggg']                   befit True
['roate', 'genal', 'began']                            ['bbyby', 'ygygb', 'ggggg']                            began True
['roate', 'clept', 'asset', 'begat']                   ['bbyyy', 'bbybg', 'ybbyg', 'ggggg']                   begat True
['roate', 'sleet', 'beget']                            ['bbbyy', 'bbygg', 'ggggg']                            beget True
['roate', 'lenes', 'deign', 'begin']                   ['bbbby', 'bgybb', 'bgyyg', 'ggggg']                   begin True
['roate', 'lenes', 'deign', 'begun']                   ['bbbby', 'bgybb', 'bgbyg', 'ggggg']                   begun True
['roate', 'lenes', 'deign', 'being']                   ['bbbby', 'bgybb', 'bggyy', 'ggggg']                   being True
['roate', 'lenes', 'belch']                            ['bbbby', 'ygbbb', 'ggggg']                            belch True
['roate', 'sling', 'belie']                            ['bbbbg', 'byybb', 'ggggg']                            belie True
['roate', 'sling', 'abbed', 'belle']                   ['bbbbg', 'bybbb', 'bybyb', 'ggggg']                   belle True
['roate', 'lenes', 'belch', 'belly']                   ['bbbby', 'ygbbb', 'gggbb', 'ggggg']                   belly True
['roate', 'demon', 'below']                            ['bybby', 'bgbgb', 'ggggg']                            below True
['roate', 'lenes', 'abaci', 'bench']                   ['bbbby', 'bggbb', 'bybgb', 'ggggg']                   bench True
['roate', 'enter', 'beret']                            ['ybbyy', 'ybygy', 'ggggg']                            beret True
['roate', 'feued', 'backy', 'berry']                   ['ybbby', 'bgbbb', 'gbbbg', 'ggggg']                   berry True
['roate', 'berth']                                     ['ybbgy', 'ggggg']                                     berth True
['roate', 'sleet', 'beset']                            ['bbbyy', 'ybygg', 'ggggg']                            beset True
['roate', 'sleet', 'betel']                            ['bbbyy', 'byygy', 'ggggg']                            betel True
['roate', 'lenes', 'bevel']                            ['bbbby', 'ygbgb', 'ggggg']                            bevel True
['roate', 'lenes', 'bevel', 'bezel']                   ['bbbby', 'ygbgb', 'ggbgg', 'ggggg']                   bezel True
['roate', 'sling', 'belie', 'bible']                   ['bbbbg', 'byybb', 'gbyyg', 'ggggg']                   bible True
['roate', 'lenes', 'bicep']                            ['bbbby', 'bbbgb', 'ggggg']                            bicep True
